Key,en,es,ar
Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Tome el control de su cuenta restableciendo su contraseña. Nuestra página de recuperación de contraseña lo guía a través de los pasos necesarios para restablecer de forma segura su contraseña.,تحكم في حسابك عن طريق إعادة تعيين كلمة المرور الخاصة بك. توجهك صفحة استرداد كلمة المرور الخاصة بنا من خلال الخطوات اللازمة لإعادة تعيين كلمة المرور الخاصة بك بشكل آمن.
Send OTP,Send OTP,Enviar OTP,إرسال OTP
Verification code sended to your email address.,Verification code sended to your email address.,Código de verificación enviado a su dirección de correo electrónico.,تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني.
The credentials field is required.,The credentials field is required.,Se requiere el campo de credenciales.,حقل بيانات الاعتماد مطلوب.
Verify User,Verify User,Verificar el usuario,تحقق من المستخدم
Verification code resend success!,Verification code resend success!,¡El código de verificación reenvía el éxito!,رمز التحقق من إعادة تقديم النجاح!
Password Reset,Password Reset,Restablecimiento de contraseña,إعادة تعيين كلمة المرور
Reset Your Password,Reset Your Password,Restablecer su contraseña,اعد ضبط كلمه السر
Enter New Password,Enter New Password,Ingrese nueva clave,أدخل كلمة مرور جديدة
Enter Confirm Password,Enter Confirm Password,Ingrese Confirmar contraseña,أدخل تأكيد كلمة المرور
Reset,Reset,Reiniciar,إعادة ضبط
The password must be at least 6 characters.,The password must be at least 6 characters.,La contraseña debe tener al menos 6 caracteres.,يجب أن تكون كلمة المرور 6 أحرف على الأقل.
The password confirmation does not match.,The password confirmation does not match.,La confirmación de contraseña no coincide.,لا يتطابق تأكيد كلمة المرور.
Password reset success. Please login with new password.,Password reset success. Please login with new password.,El éxito de restablecimiento de contraseña. Inicie sesión con una nueva contraseña.,إعادة تعيين كلمة المرور النجاح. يرجى تسجيل الدخول بكلمة مرور جديدة.
Two Factor Authenticator,Two Factor Authenticator,Autenticador de dos factores,اثنان عامل المصادقة
Enable,Enable,Permitir,يُمكَِن
Google Authenticator,Google Authenticator,Autenticador de Google,مصادقة Google
"Google Authenticator adds an extra layer of security to your online accounts by adding a second step of verification when you sign in. This means that in addition to your password, you'll also need to enter a code that is generated by the Google Authenticator app on your phone.","Google Authenticator adds an extra layer of security to your online accounts by adding a second step of verification when you sign in. This means that in addition to your password, you'll also need to enter a code that is generated by the Google Authenticator app on your phone.","Google Authenticator agrega una capa adicional de seguridad a sus cuentas en línea al agregar un segundo paso de verificación cuando inicia sesión. Esto significa que, además de su contraseña, también necesitará ingresar un código generado por la aplicación Google Authenticator en tu teléfono.",يضيف Google Authenticator طبقة إضافية من الأمان إلى حساباتك عبر الإنترنت عن طريق إضافة خطوة ثانية من التحقق عند تسجيل الدخول. وهذا يعني أنه بالإضافة إلى كلمة المرور الخاصة بك ، ستحتاج أيضًا إلى إدخال رمز تم إنشاؤه بواسطة تطبيق Google Authenticator على هاتفك.
How to Setup?,How to Setup?,¿Como instalar?,كيفيه التنصيب؟
Download App,Download App,Descargar aplicación,تحميل التطبيق
2 factor authentication (Powered by google)?,2 factor authentication (Powered by google)?,¿Autenticación de 2 factores (alimentado por Google)?,2 مصادقة عامل (مدعوم من Google)؟
Security Setting Updated Successfully!,Security Setting Updated Successfully!,Configuración de seguridad actualizada con éxito!,تم تحديث إعداد الأمان بنجاح!
Support Tickets,Support Tickets,Boletos de apoyo,تذاكر الدعم الفني
Add New,Add New,Agregar nuevo,اضف جديد
Ticket ID,Ticket ID,Identificación de entradas,معرف التذاكر
User,User,Usuario,مستخدم
username,username,nombre de usuario,اسم المستخدم
Subject,Subject,Sujeto,موضوع
Message,Message,Mensaje,رسالة
Status,Status,Estado,حالة
Last Reply,Last Reply,Última respuesta,الرد الأخير
No data found!,No data found!,¡Datos no encontrados!,لاتوجد بيانات!
Add New Ticket,Add New Ticket,Agregar nuevo boleto,أضف تذكرة جديدة
Enter Subject,Enter Subject,Entrar en el sujeto,أدخل الموضوع
Write Here,Write Here,Escribe aquí,اكتب هنا
Optional,Optional,Opcional,خياري
Attachments,Attachments,Archivos adjuntos,المرفقات
The name field is required.,The name field is required.,Se requiere el campo de nombre.,حقل الاسم مطلوب.
The email field is required.,The email field is required.,Se requiere el campo de correo electrónico.,حقل البريد الإلكتروني مطلوب.
The subject field is required.,The subject field is required.,Se requiere el campo de sujeto.,حقل الموضوع مطلوب.
The attachment field is required.,The attachment field is required.,Se requiere el campo de fijación.,حقل المرفق مطلوب.
Oops!! Failed to upload attachment. Please try again.,Oops!! Failed to upload attachment. Please try again.,¡¡Ups!! No se pudo cargar el archivo adjunto. Inténtalo de nuevo.,أُووبس!! فشل في تحميل المرفق. حاول مرة اخرى.
Support ticket created successfully!,Support ticket created successfully!,¡Ticket de apoyo creado con éxito!,تذكرة الدعم التي تم إنشاؤها بنجاح!
SMS Sending failed! Please try again.,SMS Sending failed! Please try again.,¡El envío de SMS falló! Inténtalo de nuevo.,فشل إرسال الرسائل القصيرة! حاول مرة اخرى.
This support ticket is closed.,This support ticket is closed.,Este boleto de soporte está cerrado.,تذكرة الدعم هذه مغلقة.
Support Details,Support Details,Detalles de soporte,تفاصيل الدعم
Description,Description,Descripción,وصف
Are you sure to mark as solved,Are you sure to mark as solved,¿Estás seguro de marcar como resuelto?,هل أنت متأكد من أن تحل كما تم حلها
Because it's not reversible.,Because it's not reversible.,Porque no es reversible.,لأنه غير قابل للعكس.
Pending Tickets,Pending Tickets,Boletos pendientes,تذاكر معلقة
Active Tickets,Active Tickets,Boletos activos,تذاكر نشطة
Solved Tickets,Solved Tickets,Boletos resueltos,حل التذاكر
All Tickets,All Tickets,Todas las entradas,جميع التذاكر
All Ticket,All Ticket,Todo el boleto,كل التذاكر
View All,View All,Ver todo,عرض الكل
Support Chat,Support Chat,Chat de apoyo,دعم الدردشة
Conversation,Conversation,Conversación,محادثة
"This ticket is solved, you can't send message right now.","This ticket is solved, you can't send message right now.","Este boleto está resuelto, no puede enviar un mensaje en este momento.",تم حل هذه التذكرة ، لا يمكنك إرسال رسالة الآن.
Pending Ticket,Pending Ticket,Boleto pendiente,تذكرة معلقة
Active Ticket,Active Ticket,Boleto activo,تذكرة نشطة
Solved Ticket,Solved Ticket,Boleto resuelto,تذكرة حل
Notification,Notification,Notificación,إشعار
Change Password,Change Password,Cambiar la contraseña,تغيير كلمة المرور
Current Password,Current Password,Contraseña actual,كلمة السر الحالية
New Password,New Password,Nueva contraseña,كلمة المرور الجديدة
Confirm Password,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور
Active,Active,Activo,نشيط
Default,Default,Por defecto,تقصير
Pending,Pending,Pendiente,قيد الانتظار
Solved,Solved,Resuelto,تم حلها
Banned,Banned,Prohibido,محظور
Verified,Verified,Verificado,تم التحقق
Rejected,Rejected,Rechazado,مرفوض
Unverified,Unverified,Inconfirmado,لم يتم التحقق منه
Choose One,Choose One,Elige uno,اختر واحدة
NID,Not,No,لا
Passport,Passport,Pasaporte,جواز سفر
Driving License,Driving License,Licencia de conducir,رخصة قيادة
Front,Front,Frente,أمام
Back,Back,Atrás,خلف
ID Type,ID Type,tipo de identificación,نوع الهوية
KYC Information,KYC Information,Información de KYC,معلومات KYC
Your KYC information is submited. Please wait for admin confirmation. When you are KYC verified you will show your submited information here,Your KYC information is submited. Please wait for admin confirmation. When you are KYC verified you will show your submited information here,"Se envía su información de KYC. Espere la confirmación del administrador. Cuando esté verificado KYC, mostrará su información enviada aquí",معلومات KYC الخاصة بك هي وضعت. يرجى انتظار تأكيد المسؤول. عندما يتم التحقق منك KYC ، ستعرض معلوماتك المستردة هنا
Your KYC information is verified,Your KYC information is verified,Su información de KYC está verificada,تم التحقق من معلومات KYC الخاصة بك
Your KYC information is rejected.,Your KYC information is rejected.,Su información de KYC es rechazada.,تم رفض معلومات KYC الخاصة بك.
Please submit your KYC information with valid data.,Please submit your KYC information with valid data.,Envíe su información de KYC con datos válidos.,يرجى إرسال معلومات KYC الخاصة بك مع بيانات صالحة.
Reject Reason,Reject Reason,Rechazar la razón,رفض السبب
KYC information successfully submitted,KYC information successfully submitted,La información de KYC presentó con éxito,تم تقديم معلومات KYC بنجاح
You are already KYC Verified User,You are already KYC Verified User,Ya eres usuario verificado de KYC,أنت بالفعل مستخدم تم التحقق منه KYC
No need to identity verification!!,No need to identity verification!!,¡No hay necesidad de verificación de identidad!,لا حاجة للتحقق من الهوية !!
Version,Version,Versión,إصدار
Search,Search,Buscar,يبحث
Fullscreen,Fullscreen,Pantalla completa,تكبير الشاشة
Clear All,Clear All,Limpiar todo,امسح الكل
No new notification found!,No new notification found!,¡No se encontró una nueva notificación!,لم يتم العثور على إشعار جديد!
Settings,Settings,Ajustes,إعدادات
Admin Profile,Admin Profile,Perfil de administración,ملف تعريف المسؤول
Change Password,Change Password,Cambiar la contraseña,تغيير كلمة المرور
Language,Language,Idioma,لغة
English,English,Inglés,إنجليزي
Layout Mode,Layout Mode,Modo de diseño,وضع التصميم
Dark Mode,Dark Mode,Modo oscuro,الوضع المظلم
Topbar Color,Topbar Color,Color topbar,لون الشفر
Light Mode,Light Mode,Modo de luz,وضع الضوء
Sidebar Color,Sidebar Color,Color de la barra lateral,لون الشريط الجانبي
Min Sidebar Color,Min Sidebar Color,Min Color de la barra lateral,لون الشريط الجانبي
Direction,Direction,Dirección,اتجاه
RTL Support,Rtl support,Soporte RTL,دعم RTL
