Key,en,es,ar
Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Tome el control de su cuenta restableciendo su contraseña. Nuestra página de recuperación de contraseña lo guía a través de los pasos necesarios para restablecer de forma segura su contraseña.,تحكم في حسابك عن طريق إعادة تعيين كلمة المرور الخاصة بك. توجهك صفحة استرداد كلمة المرور الخاصة بنا من خلال الخطوات اللازمة لإعادة تعيين كلمة المرور الخاصة بك بشكل آمن.
Send OTP,Send OTP,Enviar OTP,إرسال OTP
Verification code sended to your email address.,Verification code sended to your email address.,Código de verificación enviado a su dirección de correo electrónico.,تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني.
The credentials field is required.,The credentials field is required.,Se requiere el campo de credenciales.,حقل بيانات الاعتماد مطلوب.
Verify User,Verify User,Verificar el usuario,تحقق من المستخدم
Verification code resend success!,Verification code resend success!,¡El código de verificación reenvía el éxito!,رمز التحقق من إعادة تقديم النجاح!
Password Reset,Password Reset,Restablecimiento de contraseña,إعادة تعيين كلمة المرور
Reset Your Password,Reset Your Password,Restablecer su contraseña,اعد ضبط كلمه السر
Enter New Password,Enter New Password,Ingrese nueva clave,أدخل كلمة مرور جديدة
Enter Confirm Password,Enter Confirm Password,Ingrese Confirmar contraseña,أدخل تأكيد كلمة المرور
Reset,Reset,Reiniciar,إعادة ضبط
The password must be at least 6 characters.,The password must be at least 6 characters.,La contraseña debe tener al menos 6 caracteres.,يجب أن تكون كلمة المرور 6 أحرف على الأقل.
The password confirmation does not match.,The password confirmation does not match.,La confirmación de contraseña no coincide.,لا يتطابق تأكيد كلمة المرور.
Password reset success. Please login with new password.,Password reset success. Please login with new password.,El éxito de restablecimiento de contraseña. Inicie sesión con una nueva contraseña.,إعادة تعيين كلمة المرور النجاح. يرجى تسجيل الدخول بكلمة مرور جديدة.
Two Factor Authenticator,Two Factor Authenticator,Autenticador de dos factores,اثنان عامل المصادقة
Enable,Enable,Permitir,يُمكَِن
Google Authenticator,Google Authenticator,Autenticador de Google,مصادقة Google
"Google Authenticator adds an extra layer of security to your online accounts by adding a second step of verification when you sign in. This means that in addition to your password, you'll also need to enter a code that is generated by the Google Authenticator app on your phone.","Google Authenticator adds an extra layer of security to your online accounts by adding a second step of verification when you sign in. This means that in addition to your password, you'll also need to enter a code that is generated by the Google Authenticator app on your phone.","Google Authenticator agrega una capa adicional de seguridad a sus cuentas en línea al agregar un segundo paso de verificación cuando inicia sesión. Esto significa que, además de su contraseña, también necesitará ingresar un código generado por la aplicación Google Authenticator en tu teléfono.",يضيف Google Authenticator طبقة إضافية من الأمان إلى حساباتك عبر الإنترنت عن طريق إضافة خطوة ثانية من التحقق عند تسجيل الدخول. وهذا يعني أنه بالإضافة إلى كلمة المرور الخاصة بك ، ستحتاج أيضًا إلى إدخال رمز تم إنشاؤه بواسطة تطبيق Google Authenticator على هاتفك.
How to Setup?,How to Setup?,¿Como instalar?,كيفيه التنصيب؟
Download App,Download App,Descargar aplicación,تحميل التطبيق
2 factor authentication (Powered by google)?,2 factor authentication (Powered by google)?,¿Autenticación de 2 factores (alimentado por Google)?,2 مصادقة عامل (مدعوم من Google)؟
Security Setting Updated Successfully!,Security Setting Updated Successfully!,Configuración de seguridad actualizada con éxito!,تم تحديث إعداد الأمان بنجاح!
Support Tickets,Support Tickets,Boletos de apoyo,تذاكر الدعم الفني
Add New,Add New,Agregar nuevo,اضف جديد
Ticket ID,Ticket ID,Identificación de entradas,معرف التذاكر
User,User,Usuario,مستخدم
username,username,nombre de usuario,اسم المستخدم
Subject,Subject,Sujeto,موضوع
Message,Message,Mensaje,رسالة
Status,Status,Estado,حالة
Last Reply,Last Reply,Última respuesta,الرد الأخير
No data found!,No data found!,¡Datos no encontrados!,لاتوجد بيانات!
Add New Ticket,Add New Ticket,Agregar nuevo boleto,أضف تذكرة جديدة
Enter Subject,Enter Subject,Entrar en el sujeto,أدخل الموضوع
Write Here,Write Here,Escribe aquí,اكتب هنا
Optional,Optional,Opcional,خياري
Attachments,Attachments,Archivos adjuntos,المرفقات
The name field is required.,The name field is required.,Se requiere el campo de nombre.,حقل الاسم مطلوب.
The email field is required.,The email field is required.,Se requiere el campo de correo electrónico.,حقل البريد الإلكتروني مطلوب.
The subject field is required.,The subject field is required.,Se requiere el campo de sujeto.,حقل الموضوع مطلوب.
The attachment field is required.,The attachment field is required.,Se requiere el campo de fijación.,حقل المرفق مطلوب.
Oops!! Failed to upload attachment. Please try again.,Oops!! Failed to upload attachment. Please try again.,¡¡Ups!! No se pudo cargar el archivo adjunto. Inténtalo de nuevo.,أُووبس!! فشل في تحميل المرفق. حاول مرة اخرى.
Support ticket created successfully!,Support ticket created successfully!,¡Ticket de apoyo creado con éxito!,تذكرة الدعم التي تم إنشاؤها بنجاح!
SMS Sending failed! Please try again.,SMS Sending failed! Please try again.,¡El envío de SMS falló! Inténtalo de nuevo.,فشل إرسال الرسائل القصيرة! حاول مرة اخرى.
This support ticket is closed.,This support ticket is closed.,Este boleto de soporte está cerrado.,تذكرة الدعم هذه مغلقة.
Support Details,Support Details,Detalles de apoyo,تفاصيل الدعم
Description,Description,Descripción,وصف
Are you sure to mark as solved,Are you sure to mark as solved,¿Estás seguro de marcar como resuelto?,هل أنت متأكد من أن تحل كما تم حلها
Because it's not reversible.,Because it's not reversible.,Porque no es reversible.,لأنه غير قابل للعكس.
Pending Tickets,Pending Tickets,Boletos pendientes,تذاكر معلقة
Active Tickets,Active Tickets,Boletos activos,تذاكر نشطة
Solved Tickets,Solved Tickets,Boletos resueltos,حل التذاكر
All Tickets,All Tickets,Todas las entradas,جميع التذاكر
All Ticket,All Ticket,Todo el boleto,كل التذاكر
View All,View All,Ver todo,عرض الكل
Support Chat,Support Chat,Chat de apoyo,دعم الدردشة
Conversation,Conversation,Conversación,محادثة
"This ticket is solved, you can't send message right now.","This ticket is solved, you can't send message right now.","Este boleto está resuelto, no puede enviar un mensaje en este momento.",تم حل هذه التذكرة ، لا يمكنك إرسال رسالة الآن.
Pending Ticket,Pending Ticket,Boleto pendiente,تذكرة معلقة
Active Ticket,Active Ticket,Boleto activo,تذكرة نشطة
Solved Ticket,Solved Ticket,Boleto resuelto,تذكرة حل
Notification,Notification,Notificación,إشعار
Change Password,Change Password,Cambiar la contraseña,تغيير كلمة المرور
Current Password,Current Password,Contraseña actual,كلمة السر الحالية
New Password,New Password,Nueva contraseña,كلمة المرور الجديدة
Confirm Password,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور
Active,Active,Activo,نشيط
Default,Default,Por defecto,تقصير
Pending,Pending,Pendiente,قيد الانتظار
Solved,Solved,Resuelto,تم حلها
Banned,Banned,Prohibido,محظور
Verified,Verified,Verificado,تم التحقق
Rejected,Rejected,Rechazado,مرفوض
Unverified,Unverified,Inconfirmado,لم يتم التحقق منه
Choose One,Choose One,Elige uno,اختر واحدة
NID,Not,No,لا
Passport,Passport,Pasaporte,جواز سفر
Driving License,Driving License,Licencia de conducir,رخصة قيادة
Front,Front,Frente,أمام
Back,Back,Atrás,خلف
ID Type,ID Type,tipo de identificación,نوع الهوية
KYC Information,KYC Information,Información de KYC,معلومات KYC
Your KYC information is submited. Please wait for admin confirmation. When you are KYC verified you will show your submited information here,Your KYC information is submited. Please wait for admin confirmation. When you are KYC verified you will show your submited information here,"Se envía su información de KYC. Espere la confirmación del administrador. Cuando esté verificado KYC, mostrará su información enviada aquí",معلومات KYC الخاصة بك هي وضعت. يرجى انتظار تأكيد المسؤول. عندما يتم التحقق منك KYC ، ستعرض معلوماتك المستردة هنا
Your KYC information is verified,Your KYC information is verified,Su información de KYC está verificada,تم التحقق من معلومات KYC الخاصة بك
Your KYC information is rejected.,Your KYC information is rejected.,Su información de KYC es rechazada.,تم رفض معلومات KYC الخاصة بك.
Please submit your KYC information with valid data.,Please submit your KYC information with valid data.,Envíe su información de KYC con datos válidos.,يرجى إرسال معلومات KYC الخاصة بك مع بيانات صالحة.
Reject Reason,Reject Reason,Rechazar la razón,رفض السبب
KYC information successfully submitted,KYC information successfully submitted,La información de KYC presentó con éxito,تم تقديم معلومات KYC بنجاح
You are already KYC Verified User,You are already KYC Verified User,Ya eres usuario verificado de KYC,أنت بالفعل مستخدم تم التحقق منه KYC
No need to identity verification!!,No need to identity verification!!,¡No hay necesidad de verificación de identidad!,لا حاجة للتحقق من الهوية !!
Version,Version,Versión,إصدار
Search,Search,Buscar,يبحث
Fullscreen,Fullscreen,Pantalla completa,تكبير الشاشة
Clear All,Clear All,Limpiar todo,امسح الكل
No new notification found!,No new notification found!,¡No se encontró una nueva notificación!,لم يتم العثور على إشعار جديد!
Settings,Settings,Ajustes,إعدادات
Admin Profile,Admin Profile,Perfil de administración,ملف تعريف المسؤول
Language,Language,Idioma,لغة
English,English,Inglés,إنجليزي
Layout Mode,Layout Mode,Modo de diseño,وضع التصميم
Dark Mode,Dark Mode,Modo oscuro,الوضع المظلم
Topbar Color,Topbar Color,Color topbar,لون الشفر
Light Mode,Light Mode,Modo de luz,وضع الضوء
Sidebar Color,Sidebar Color,Color de la barra lateral,لون الشريط الجانبي
Min Sidebar Color,Min Sidebar Color,Min Color de la barra lateral,لون الشريط الجانبي
Direction,Direction,Dirección,اتجاه
RTL Support,Rtl support,Soporte RTL,دعم RTL
Profile Image,Profile Image,Imagen de perfil,صورة الملف الشخصي
Save & Change,Save & Change,Guardar cambios,حفظ وتغيير
Profile Information Updated Successfully!,Profile Information Updated Successfully!,¡Información de perfil actualizada con éxito!,معلومات الملف الشخصي تحديث بنجاح!
Welcome To,Welcome To,Bienvenido a,مرحبا بك في
Admin Panel,Admin Panel,Panel de administrador,لوحة الادارة
Developed by,Developed by,Desarrollado por,طورت بواسطة
AppDevs,AppDevs,Appdevs,appdevs
Password updated successfully!,Password updated successfully!,¡Contraseña actualizada exitosamente!,تم تحديث كلمة السر بنجاح!
Interface Panel,Interface Panel,Panel de interfaz,لوحة واجهة
Active Users,Active Users,Usuarios activos,المستخدمين النشطين
Email Unverified,Email Unverified,Correo electrónico no verificado,البريد الإلكتروني غير التحقق
KYC Unverified,KYC Unverified,KYC no verificado,KYC غير التحقق
All Users,All Users,Todos los usuarios,جميع المستخدمين
Email To Users,Email To Users,Correo electrónico a los usuarios,البريد الإلكتروني للمستخدمين
Banned Users,Banned Users,Usuarios prohibidos,المستخدمين المحظورون
Admin Care,Admin Care,Atención administrativa,رعاية المسؤول
All Admin,All Admin,Todos los administradores,كل المشرف
Admin Role,Admin Role,Rol de administrador,دور المسؤول
Role Permission,Role Permission,Permiso de rol,إذن الدور
Email To Admin,Email To Admin,Correo electrónico al administrador,البريد الإلكتروني إلى المسؤول
Web Settings,Web Settings,Configuración web,إعدادات الويب
Basic Settings,Basic Settings,Ajustes básicos,الإعدادات الأساسية
Image Assets,Image Assets,Activos de imagen,أصول الصورة
Setup SEO,Setup SEO,Configuración de SEO,إعداد SEO
App Settings,App Settings,Ajustes de Aplicacion,إعدادات التطبيقات
Splash Screen,Splash Screen,Pantalla de bienvenida,شاشة البداية
Onboard Screen,Onboard Screen,Pantalla a bordo,على متن الشاشة
Languages,Languages,Lenguas,اللغات
Setup Email,Setup Email,Correo electrónico de configuración,إعداد البريد الإلكتروني
Email Method,Email Method,Método de correo electrónico,طريقة البريد الإلكتروني
Setup KYC,Setup KYC,Configurar KYC,إعداد KYC
Verification Center,Verification Center,Centro de verificación,مركز التحقق
Setup Web Content,Setup Web Content,Configurar contenido web,إعداد محتوى الويب
Setup Section,Setup Section,Sección de configuración,قسم الإعداد
Setup Pages,Setup Pages,Configuración de páginas,صفحات الإعداد
Extensions,Extensions,Extensiones,الامتدادات
Useful Links,Useful Links,Enlaces útiles,روابط مفيدة
Push Notification,Push Notification,Notificación de inserción,إشعار دفع
Setup Notification,Setup Notification,Notificación de configuración,إشعار الإعداد
Send Notification,Send Notification,Enviar notificación,إرسال إشعار
Bonus,Bonus,Prima,علاوة
GDPR Cookie,GDPR Cookie,Galleta GDPR,ملف تعريف الارتباط الناتج المحلي الإجمالي
Server Info,Server Info,Información del servidor,معلومات الخادم
Clear Cache,Clear Cache,Limpiar cache,مسح ذاكرة التخزين المؤقت
Action,Action,Acción,فعل
User Overview,User Overview,Descripción general del usuario,نظرة عامة على المستخدم
Add/Subtract Balance,Add/Subtract Balance,Balance de suma/reste,إضافة/طرح التوازن
Login Logs,Login Logs,Iniciar sesión,سجلات تسجيل الدخول
Send Email,Send Email,Enviar correo electrónico,ارسل بريد الكتروني
Login as Member,Login as Member,Iniciar sesión como miembro,تسجيل الدخول كعضو
Email Logs,Email Logs,Registros de correo electrónico,سجلات البريد الإلكتروني
Full Name,Full Name,Nombre completo,الاسم الكامل
Last Login,Last Login,Último acceso,آخر تسجيل دخول
Information of User,Information of User,Información del usuario,معلومات المستخدم
Phone Number,Phone Number,Número de teléfono,رقم التليفون
Type Here,Type Here,Escriba aquí,أكتب هنا
User Status,User Status,Estatus de usuario,حالة المستخدم
Email Verification,Email Verification,verificacion de email,تأكيد بواسطة البريد الالكتروني
2FA Verification,2FA Verification,Verificación de 2FA,2FA التحقق
KYC Verification,KYC Verification,Verificación de KYC,التحقق من KYC
Send,Send,Enviar,يرسل
Type,Type,Tipo,يكتب
Select Type,Select Type,Seleccione tipo,اختر صنف
Balance Add,Balance Add,Balance Agregar,إضافة التوازن
Balance Subtract,Balance Subtract,Balance restante,توازن طرح
User Wallet,User Wallet,Billetera del usuario,محفظة المستخدم
Select User Wallet,Select User Wallet,Seleccione la billetera del usuario,حدد محفظة المستخدم
Amount,Amount,Cantidad,كمية
Remark,Remark,Observación,ملاحظة
The username field is required.,The username field is required.,Se requiere el campo de nombre de usuario.,حقل اسم المستخدم مطلوب.
The message field is required.,The message field is required.,Se requiere el campo de mensaje.,حقل الرسالة مطلوب.
Opps! User not exists,Opps! User not exists,¡Opps! El usuario no existe,أوس! المستخدم لا يوجد
Mail successfully sended,Mail successfully sended,Correo enviado correctamente,تم إرسال البريد بنجاح
User Login Logs,User Login Logs,Registros de inicio de sesión de usuario,سجلات تسجيل الدخول المستخدم
SL,SL,SLE,إس إل
IP,IP,IP,IP
MAC,MAC,MAC,ماك
Location,Location,Ubicación,موقع
Browser,Browser,Navegador,متصفح
OS,YOU,TÚ,أنت
Login at,Login at,Iniciar sesión en,تسجيل الدخول في
User Email Logs,User Email Logs,Registros de correo electrónico de usuario,سجلات البريد الإلكتروني للمستخدم
Mail Sender(Method),Mail Sender(Method),Remitente de correo (método),مرسل البريد (الطريقة)
Email Unverified Users,Email Unverified Users,Envíe un correo electrónico a usuarios no verificados,بريد إلكتروني لم يتم التحقق من المستخدمين
SMS Unverified Users,SMS Unverified Users,Usuarios no verificados de SMS,الرسائل القصيرة المستخدمين لم يتم التحقق منها
KYC Unverified Users,KYC Unverified Users,Usuarios no verificados de KYC,kyc المستخدمين غير التحقق منها
User Care,User Care,Cuidado de los usuarios,رعاية المستخدم
User Details,User Details,Detalles de usuario,بيانات المستخدم
User Profile,User Profile,Perfil del usuario,ملف تعريفي للمستخدم
Kyc Profile,Kyc Profile,Perfil de KYC,ملف KYC
Edit KYC,Edit KYC,Editar kyc,تحرير KYC
Information of Logs,Information of Logs,Información de los registros,معلومات السجلات
File not found!,File not found!,¡Archivo no encontrado!,لم يتم العثور على الملف!
Approve,Approve,Aprobar,يعتمد
Reject,Reject,Rechazar,يرفض
KYC Information not submitted yet,KYC Information not submitted yet,Información de KYC aún no se ha enviado,معلومات KYC لم يتم تقديمها بعد
Are you sure to approve,Are you sure to approve,¿Estás seguro de aprobar,هل أنت متأكد من الموافقة
KYC information.,KYC information.,Información de KYC.,معلومات KYC.
Rejejct KYC,Rejejct kyc,REJEJCT KYC,Rejejct KYC
Explain Rejection Reason,Explain Rejection Reason,Explicar la razón de rechazo,شرح سبب الرفض
User already KYC verified,User already KYC verified,Usuario ya KYC Verificado,تم التحقق من المستخدم بالفعل KYC
User KYC information not found,User KYC information not found,Información del usuario de KYC no encontrada,لم يتم العثور على معلومات المستخدم KYC
User KYC successfully approved,User KYC successfully approved,El usuario KYC aprobó con éxito,وافق المستخدم KYC بنجاح
The reason field is required.,The reason field is required.,Se requiere el campo de la razón.,سبب الحقل مطلوب.
User KYC information is rejected,User KYC information is rejected,La información del usuario KYC es rechazada,تم رفض معلومات المستخدم KYC
User do not have sufficient balance,User do not have sufficient balance,El usuario no tiene suficiente equilibrio,المستخدم ليس لديه توازن كاف
User wallet not found!,User wallet not found!,¡Billetera de usuario no encontrada!,محفظة المستخدم لم يتم العثور عليها!
Transaction success,Transaction success,Éxito de transacciones,نجاح المعاملة
Details,Details,Detalles,تفاصيل
Email successfully sended,Email successfully sended,Correo electrónico enviado correctamente,أرسل البريد الإلكتروني بنجاح
Add Admin,Add Admin,Agregar administrador,إضافة المسؤول
Role,Role,Role,دور
Cancel,Cancel,Cancelar,يلغي
Add,Add,Agregar,يضيف
Generate,Generate,Generar,يولد
Select Role,Select Role,Rol de selección,حدد الدور
The role field is required.,The role field is required.,Se requiere el campo de roles.,حقل الدور مطلوب.
The phone field is required.,The phone field is required.,Se requiere el campo del teléfono.,حقل الهاتف مطلوب.
Role assign faild!,Role assign faild!,¡Role asignar fallas!,دور تعيين فشل!
New admin created successfully!,New admin created successfully!,¡Nuevo administrador creado con éxito!,تم إنشاء مسؤول جديد بنجاح!
Edit Admin,Edit admin,Editar administrador,تحرير المسؤول
Admin information updated successfully!,Admin information updated successfully!,Información de administración actualizada con éxito!,معلومات المسؤول تحديث بنجاح!
Are you sure to remove,Are you sure to remove,¿Estás seguro de eliminar,هل أنت متأكد من إزالته
Admin Roles,Admin Roles,Roles de administración,أدوار المشرف
All Admin Roles,All Admin Roles,Todos los roles de administración,جميع أدوار المشرف
Role Name,Role Name,Nombre de rol,اسم الدور
Asign Admin,Asign admin,Asignar administrador,تعيين المشرف
Add New Role,Add New Role,Agregar un nuevo rol,أضف دورًا جديدًا
Edit Role,Edit Role,Rol de edición,تحرير الدور
Are you sure to delete this role?,Are you sure to delete this role?,¿Estás seguro de eliminar este papel?,هل أنت متأكد من حذف هذا الدور؟
Admin status updated successfully!,Admin status updated successfully!,Estado de administrador actualizado con éxito!,تم تحديث حالة المسؤول بنجاح!
Admin role created successfully!,Admin role created successfully!,¡Rol de administración creado con éxito!,تم إنشاء دور المسؤول بنجاح!
Opps! Target not found!,Opps! Target not found!,¡Opps! Objetivo no encontrado!,أوس! الهدف لم يتم العثور عليه!
Opps! Target role not found!,Opps! Target role not found!,¡Opps! ¡Rol de objetivo no encontrado!,أوس! الدور المستهدف لم يتم العثور عليه!
Admin role updated successfully!,Admin role updated successfully!,¡Rol de administración actualizado con éxito!,تم تحديث دور المسؤول بنجاح!
Super admin role can\'t deletable.,Super admin role can\'t deletable.,El rol super administrador puede ser eliminable.,دور المشرف الفائق يمكن أن يكون قابلاً للحذف.
Admin role deleted successfully!,Admin role deleted successfully!,¡Rol de administración eliminado con éxito!,تم حذف دور المسؤول بنجاح!
Permission Group,Permission Group,Grupo de permisos,مجموعة الإذن
Permission Name,Permission Name,Nombre de permiso,اسم إذن
Add New Permission,Add New Permission,Agregar nuevo permiso,أضف إذنًا جديدًا
Title,Title,Título,عنوان
URI,Type,Tipo,يكتب
SL NO,SL NO,SI. NO,SL. لا
Assign Permission Page/Task,Assign Permission Page/Task,Asignar la página/tarea de permiso,تعيين صفحة/مهمة إذن
Select Pages,Select Pages,Seleccionar páginas,حدد الصفحات
Are you sure to delete this permission? It will also delete all permissions against this role.,Are you sure to delete this permission? It will also delete all permissions against this role.,¿Estás seguro de eliminar este permiso? También eliminará todos los permisos contra este papel.,هل أنت متأكد من حذف هذا الإذن؟ كما ستحذف جميع الأذونات ضد هذا الدور.
Permission created successfully!,Permission created successfully!,¡Permiso creado con éxito!,إذن تم إنشاؤه بنجاح!
Permission not found!,Permission not found!,¡Permiso no encontrado!,إذن لم يتم العثور عليه!
Permission updated successfully!,Permission updated successfully!,¡Permiso actualizado con éxito!,تم تحديث إذن بنجاح!
Permission deleted successfully!,Permission deleted successfully!,¡Permiso eliminado con éxito!,تم حذف إذن بنجاح!
Role Permission (,Role Permission (,Permiso de rol (,إذن الأدوار (
Permission assign successfully!,Permission assign successfully!,Permiso asignar con éxito!,إذن تخصيص بنجاح!
Can\'t deletable system super admin,Can\'t deletable system super admin,¿Puede \ 't System Deletable Super Admin,لا يمكن \ 't super super admin
Admin deleted successfully!,Admin deleted successfully!,Admin eliminado con éxito!,تم حذف المسؤول بنجاح!
Email send successfully!,Email send successfully!,¡Envíe el correo electrónico con éxito!,إرسال البريد الإلكتروني بنجاح!
All Permissions,All Permissions,Todos los permisos,جميع الأذونات
Site Base Color,Site Base Color,Color base del sitio,لون قاعدة الموقع
Site Name,Site Name,Nombre del sitio,اسم الموقع
Web Version,Web Version,Versión web,إصدار الويب
Site Title,Site Title,Título del sitio,عنوان الموقع
OTP Expiration,OTP Expiration,Vencimiento de OTP,انتهاء صلاحية OTP
TimeZone,TimeZone,Zona horaria,وحدة زمنية
Activation Settings,Activation Settings,Configuración de activación,إعدادات التنشيط
User Registration,User Registration,registro de usuario,تسجيل المستخدم
Activated,Activated,Activado,مفعل
Deactivated,Deactivated,Desactivado,إلغاء تنشيطه
Secure Password,Secure Password,Contraseña segura,كلمة مرور تأمين
Agree Policy,Agree Policy,Política de acuerdo,توافق على السياسة
Force SSL,Force SSL,Forzar SSL,قوة SSL
Email Notification,Email Notification,Notificación de correo electrónico,إشعار البريد الإلكتروني
The base color field is required.,The base color field is required.,Se requiere el campo de color base.,حقل اللون الأساسي مطلوب.
